V1,V2,V3
-111.121581153923,-8,-3390
-111.05490117788,-8,-3434
-110.988221201837,-8,-3437
-110.921541225794,-8,-3474
-110.85486124975,-8,-3422
-110.788181273707,-8,-3443
-110.721501297664,-8,-3665
-110.654821321621,-8,-3778
-110.588141345578,-8,-3675
-110.521461369535,-8,-3522
-110.454781393492,-8,-3498
-110.388101417449,-8,-3488
-110.321421441405,-8,-3483
-110.254741465362,-8,-3494
-110.188061489319,-8,-3503
-110.121381513276,-8,-3422
-110.054701537233,-8,-3315
-109.98802156119,-8,-3418
-109.921341585147,-8,-3439
-109.854661609104,-8,-3410
-109.78798163306,-8,-3443
-109.721301657017,-8,-3384
-109.654621680974,-8,-3255
-109.587941704931,-8,-3396
-109.521261728888,-8,-3419
-109.454581752845,-8,-3343
-109.387901776802,-8,-3236
-109.321221800759,-8,-3264
-109.254541824716,-8,-3317
-109.187861848672,-8,-3299
-109.121181872629,-8,-3254
-109.054501896586,-8,-3259
-108.987821920543,-8,-3230
-108.9211419445,-8,-3250
-108.854461968457,-8,-3272
-108.787781992414,-8,-3233
-108.721102016371,-8,-3217
-108.654422040327,-8,-3233
-108.587742064284,-8,-3202
-108.521062088241,-8,-3116
-108.454382112198,-8,-3151
-108.387702136155,-8,-3119
-108.321022160112,-8,-3109
-108.254342184069,-8,-3178
-108.187662208026,-8,-3185
